[RUN #0 5 20]
-877 88 382 -104 253
-440 -292 -852 790 853
801 -107 56 -398 834
-63 -889 -597 -629 473
781 -252 -920 575 -487
-251 -264 200 -963 -956
-312 767 559 -68 -102
234 -105 326 413 -761
108 -721 90 -836 571
-983 680 -137 666 -852
-647 -768 155 -559 996
-49 -948 154 -787 348
810 -742 52 -970 -8
-541 102 -643 916 906
-238 9 -627 296 -714
-117 905 24 138 -374
588 -378 999 -810 -830
436 421 540 44 253
555 -839 753 -973 -6
-24 -227 -917 -138 -523
-822 384 -621 555 825
75 -778 -719 798 -241
-302 71 -11 -636 521
741 -902 711 206 -798
939 -96 -875 -256 965
126 415 451 910 -720
-233 177 48 -359 209
-964 390 -507 -203 928
-536 257 -575 -44 -562
-935 -69 -115 -776 -893
235 230 -984 -937 989
695 -520 -759 795 -807
-116 -748 -244 919 -587
-665 424 -567 -687 230
605 -31 -869 60 136
-120 268 369 -928 844
-556 77 56 505 724
300 433 18 305 -274
-886 478 374 -648 -58
-234 383 607 510 -559
753 -868 -938 -172 817
120 -14 -343 -916 -310
354 -765 190 -17 551
-264 -240 -570 -794 -585
-721 -514 288 777 -967
-767 -910 -553 -143 802
380 -146 -139 935 -969
754 582 -300 299 616
-770 -675 498 -301 -571
337 352 -757 25 -523
-897 67 626 318 757
-135 -11 381 -490 -908
857 314 -448 -731 -872
62 -694 396 580 471
-222 657 796 134 -294
421 198 -212 504 859
-931 68 585 -451 -64
619 891 386 -444 -283
-79 -763 -215 -912 -137
401 850 248 384 -400
-158 442 -624 -941 356
249 -28 117 274 -895
-638 -689 -161 237 -290
-440 -19 -257 -451 -690
-405 525 -802 618 -138
983 -674 779 -750 -369
519 -183 858 -576 -475
-774 -286 891 410 999
699 -847 633 40 -612
158 904 183 734 758
329 860 -73 918 -936
-99 42 158 -335 404
-164 823 161 290 139
-202 -712 507 367 -639
790 215 -690 11 -846
348 -608 877 965 549
[RUN #4 4 200]
-282 76 306 563
-991 514 711 -402
-522 414 -686 -835
513 -289 536 -113
-373 884 204 -790
687 843 620 -210
-968 -425 709 -270
-318 951 562 399
-766 -847 -466 337
-827 -698 -653 778
-103 1 107 153
368 821 -471 -760
713 620 314 533
385 228 750 736
-595 249 -303 -721
793 -365 -579 -704
322 524 352 -205
-442 973 -888 -923
-765 -81 559 -339
-983 391 -999 119
-995 448 -118 104
864 9 -111 908
-57 367 -698 935
529 -133 977 262
767 963 654 -801
127 212 703 -425
433 -945 204 -267
-689 611 326 638
-46 6 221 -709
-73 -946 561 -850
304 -189 -480 -557
428 46 -166 683
-36 -739 -645 -459
-556 804 -841 351
289 22 671 927
-831 -330 721 988
197 213 717 -122
458 -367 -532 -299
-67 -567 11 -369
452 949 -218 179
488 -384 -570 904
-751 -561 398 -228
-317 469 -631 474
-713 -381 -181 976
15 207 121 331
874 -62 297 885
676 981 683 155
469 392 606 -916
-383 478 -357 -257
50 -218 -348 437
547 200 -525 858
-310 189 948 796
21 414 -792 -479
559 902 -799 -414
-572 -232 354 -956
-404 643 51 885
268 -418 374 705
-62 72 381 -273
-810 291 740 629
886 223 184 622
918 -165 -483 992
911 -653 215 -400
759 -519 972 352
-492 592 -328 865
-834 168 -703 -709
-701 78 -472 509
73 -660 -539 774
-706 21 -772 -187
223 379 787 -698
-829 -412 -89 389
-961 357 -800 162
542 336 -290 -198
-743 644 818 482
-740 431 939 -714
-804 598 888 -90
-691 627 -942 -68
784 -401 760 -16
-424 -968 -82 617
71 971 577 -757
-466 788 798 -947
39 107 -210 140
42 376 -717 425
815 -177 217 -968
289 -497 585 -108
-812 236 308 572
561 -629 775 140
-836 109 -766 977
-517 -472 19 54
269 532 784 595
-455 584 -895 559
501 -770 -819 219
-228 -15 236 -737
460 784 385 440
-890 -741 -755 -437
329 768 -345 -316
540 -646 -565 -581
68 720 732 -919
927 577 -405 -770
321 598 -971 584
-630 -220 -237 653
-974 105 -27 71
41 -434 721 -136
-562 -95 488 -733
-633 883 -60 -929
484 796 159 434
458 616 -619 689
-675 -325 132 637
-986 823 300 -983
165 175 -147 -671
-169 418 961 -696
-132 908 464 -983
605 926 39 -986
-703 992 -144 -984
-951 -31 150 433
-173 -605 -215 -696
701 15 -677 698
-271 341 511 360
-388 -557 -800 -328
750 -36 -455 -531
190 641 928 493
488 -883 681 -142
-389 114 974 -447
878 -881 -429 -537
-696 156 -299 76
614 143 -414 -918
-132 983 520 -183
703 -220 -931 421
-255 773 13 503
-716 811 -546 -560
889 -280 237 -96
403 630 -912 120
166 -950 -584 896
-819 -919 247 -17
775 -1000 -554 133
909 505 -745 -175
978 -477 -86 -859
348 726 960 -941
455 -205 418 196
-13 -643 432 -395
136 -302 -692 -128
563 455 -223 211
384 709 -616 -631
413 748 817 764
888 9 -504 -85
858 -854 257 633
131 525 632 -670
156 721 246 560
243 -153 137 -876
290 422 -636 34
472 -826 -584 397
507 -205 -28 125
448 -317 929 -302
-174 -662 -852 -610
-848 -260 -193 384
-741 72 993 116
-619 36 -919 980
-492 556 875 171
-101 88 61 -343
-88 848 16 260
-32 -26 961 559
20 256 1 -829
-114 840 -668 661
21 -979 -742 -267
672 769 -58 674
164 -289 381 -32
262 -350 963 -411
263 955 798 -386
641 773 -744 -543
37 605 -524 955
-378 -993 21 239
-190 110 -220 -150
-582 -277 391 -969
610 464 875 -145
22 844 249 -814
103 441 -169 871
-49 225 188 576
-884 -93 32 98
966 -567 783 -796
-727 -748 291 -489
-896 432 789 837
398 -774 -372 103
451 -571 332 -723
-336 354 303 -959
-919 838 -21 -73
-383 907 -562 -579
422 378 -49 215
-324 768 488 921
-102 114 -843 37
-125 109 163 563
620 -910 84 143
-50 223 901 250
661 -732 828 -802
447 688 635 -384
-756 -916 766 362
-610 519 -384 330
-364 -159 -902 -884
932 244 567 -502
656 26 924 692
-846 41 -196 82
694 -456 -998 -96
